book_id,title,authors
24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee"
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin
10441,The Memory Keeper's Daughter,Kim Edwards
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes
168668,Catch-22,Joseph Heller
6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys"
2187,Middlesex,Jeffrey Eugenides
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye"
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle
7763,The Joy Luck Club,Amy Tan
38447,The Handmaid's Tale,Margaret Atwood
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares
7604,Lolita,"Vladimir Nabokov, Craig Raine"
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith"
5358,"The Firm (Penguin Readers, Level 5)",John Grisham
7937843,Room,Emma Donoghue
1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson"
234225,Dune (Dune Chronicles #1),Frank Herbert
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
11084145,Steve Jobs,Walter Isaacson
332613,One Flew Over the Cuckoo's Nest,Ken Kesey
2165,The Old Man and the Sea,Ernest Hemingway
4395,The Grapes of Wrath,John Steinbeck
3431,The Five People You Meet in Heaven,Mitch Albom
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin
137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
10964,"Outlander (Outlander, #1)",Diana Gabaldon
12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland"
18007564,The Martian,Andy Weir
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett
18143977,All the Light We Cannot See,Anthony Doerr
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand
976,Deception Point,Dan Brown
17333223,The Goldfinch,Donna Tartt
1217100,Thirteen Reasons Why,Jay Asher
2865,Girl with a Pearl Earring,Tracy Chevalier
4374400,"If I Stay (If I Stay, #1)",Gayle Forman
4989,The Red Tent,Anita Diamant
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan
5526,Dear John,Nicholas Sparks
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare
8852,Macbeth,William Shakespeare
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien
42156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin
23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור"
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake"
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan
2623,Great Expectations,Charles Dickens
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien
49552,The Stranger,"Albert Camus, Matthew    Ward"
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan
15745753,Eleanor & Park,Rainbow Rowell
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin
7735333,"Matched (Matched, #1)",Ally Condie
4407,"American Gods (American Gods, #1)",Neil Gaiman
149267,The Stand,"Stephen King, Bernie Wrightson"
6400090,The Last Song,Nicholas Sparks
11125,Digital Fortress,Dan Brown
6969,Emma,"Jane Austen, Fiona Stafford"
15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude"
227463,A Clockwork Orange,Anthony Burgess
1812457,The Shack,William Paul Young
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan
18342,It,Stephen King
7144,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff"
6514,The Bell Jar,Sylvia Plath
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt
52036,Siddhartha,"Hermann Hesse, Hilda Rosner"
168642,In Cold Blood,Truman Capote
6304335,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl"
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare
39988,Matilda,"Roald Dahl, Quentin Blake"
9361589,The Night Circus,Erin Morgenstern
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory
24770,"Uglies (Uglies, #1)",Scott Westerfeld
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins"
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
3228917,Outliers: The Story of Success,Malcolm Gladwell
153747,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk"
2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows"
5759,Fight Club,Chuck Palahniuk
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris
11486,The Color Purple,Alice Walker
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan
16299,And Then There Were None,Agatha Christie
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire
5326,A Christmas Carol,Charles Dickens
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice
10507293,"The Selection (The Selection, #1)",Kiera Cass
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris
345627,"Vampire Academy (Vampire Academy, #1)",Richelle Mead
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
6867,Atonement,Ian McEwan
485894,The Metamorphosis,"Franz Kafka, Stanley Corngold"
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan
9969571,Ready Player One,Ernest Cline
3153910,The Art of Racing in the Rain,Garth Stein
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn"
13572249,"Bared to You (Crossfire, #1)",Sylvia Day
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes"
3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz
60748,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer
6487308,"Fallen (Fallen, #1)",Lauren Kate
4406,East of Eden,John Steinbeck
5886881,Dark Places,Gillian Flynn
5359,The Client,John Grisham
228333,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus"
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner"
2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch"
556602,Sarah's Key,Tatiana de Rosnay
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King
9712,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman"
439288,Speak,Laurie Halse Anderson
17802724,The Husband's Secret,Liane Moriarty
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer
10592,Carrie,Stephen King
242006,Running with Scissors,Augusten Burroughs
8908,World War Z: An Oral History of the Zombie War,Max Brooks
17212231,"Inferno (Robert Langdon, #4)",Dan Brown
47281,Number the Stars,Lois Lowry
13145,"Along Came a Spider (Alex Cross, #1)",James Patterson
10614,Misery,Stephen King
66559,Sharp Objects,Gillian Flynn
2839,Bridge to Terabithia,Katherine Paterson
30183,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast"
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey
1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey"
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer
11387515,Wonder,R.J. Palacio
233093,The Cat in the Hat,Dr. Seuss
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling"
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff"
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin"
13023,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke"
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves"
7631105,"The Scorch Trials (Maze Runner, #2)",James Dashner
4865,How to Win Friends and Influence People,Dale Carnegie
480479,Under the Tuscan Sun,Frances Mayes
19486412,Big Little Lies,Liane Moriarty
24337,Ella Enchanted,Gail Carson Levine
3876,The Sun Also Rises,Ernest Hemingway
14891,A Tree Grows in Brooklyn,Betty  Smith
13148,"Kiss the Girls (Alex Cross, #2)",James Patterson
21853621,The Nightingale,Kristin Hannah
6334,Never Let Me Go,Kazuo Ishiguro
366522,P.S. I Love You,Cecelia Ahern
12873,Rebecca,"Daphne du Maurier, Sally Beauman"
18373,Flowers for Algernon,Daniel Keyes
6952,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen"
1103,Snow Flower and the Secret Fan,Lisa See
22034,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart"
49750,An Abundance of Katherines,John Green
29579,Foundation (Foundation #1),Isaac Asimov
15783514,The Ocean at the End of the Lane,Neil Gaiman
30118,A Light in the Attic,Shel Silverstein
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling"
11614718,"Delirium (Delirium, #1)",Lauren Oliver
32499,The Pelican Brief,John Grisham
17061,Coraline,Neil Gaiman
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman"
70401,On the Road,Jack Kerouac
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion
3063499,The Lucky One,Nicholas Sparks
2122,The Fountainhead,"Ayn Rand, Leonard Peikoff"
19691,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy
76620,"Watership Down (Watership Down, #1)",Richard Adams
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling
3591262,Cutting for Stone,Abraham Verghese
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes"
295,Treasure Island,Robert Louis Stevenson
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan
10644930,11/22/63,Stephen King
4948,The Very Hungry Caterpillar Board Book,Eric Carle
135479,Cat's Cradle,Kurt Vonnegut Jr.
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti"
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent"
39999,The Boy in the Striped Pajamas,John Boyne
4900,Heart of Darkness,Joseph Conrad
7812659,Safe Haven,Nicholas Sparks
52529,"The Secret (The Secret, #1)",Rhonda Byrne
227711,I Know This Much Is True,Wally Lamb
10583,Pet Sematary,Stephen King
5203,She's Come Undone,Wally Lamb
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss
33724,Can You Keep a Secret?,Sophie Kinsella
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare
14748,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner
3412,The Thorn Birds,Colleen McCullough
2213661,The Graveyard Book,"Neil Gaiman, Dave McKean"
13158800,The Light Between Oceans,M.L. Stedman
28194,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell"
4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard"
9791,A Walk in the Woods,Bill Bryson
13214,I Know Why the Caged Bird Sings,Maya Angelou
15818107,Orphan Train,Christina Baker Kline
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare
13526165,"Where'd You Go, Bernadette",Maria Semple
10365,Where the Red Fern Grows,Wilson Rawls
14497,Neverwhere,Neil Gaiman
9717,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim"
16068905,Fangirl,Rainbow Rowell
4473,A Prayer for Owen Meany,John Irving
32234,White Oleander,Janet Fitch
9275658,"Legend (Legend, #1)",Marie Lu
14866,Nineteen Minutes,Jodi Picoult
2318271,The Last Lecture,"Randy Pausch, Jeffrey Zaslow"
228665,"The Eye of the World (Wheel of Time, #1)",Robert Jordan
10916,The Pact,Jodi Picoult
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis
2153405,Still Alice,Lisa Genova
13596809,"Reflected in You (Crossfire, #2)",Sylvia Day
6689,James and the Giant Peach,"Roald Dahl, Quentin Blake"
13137,"1st to Die (Women's Murder Club, #1)",James Patterson
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams
6280118,One Day,David Nicholls
32929,Goodnight Moon,"Margaret Wise Brown, Clement Hurd"
7747374,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore
1371,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox"
13497818,The Casual Vacancy,J.K. Rowling
24192,The Runaway Jury,John Grisham
4138,Naked,David Sedaris
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini
236093,"The Wonderful Wizard of Oz (Oz, #1)","L. Frank Baum, W.W. Denslow"
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis
16143347,We Were Liars,E. Lockhart
11590,'Salem's Lot,Stephen King
7745,Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman"
10025305,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare
20910157,Yes Please,Amy Poehler
12996,Othello,William Shakespeare
6149,Beloved,Toni Morrison
3236307,"Graceling (Graceling Realm, #1)",Kristin Cashore
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)","Lemony Snicket, Brett Helquist"
355697,All Quiet on the Western Front,"Erich Maria Remarque, A.W. Wheen"
191139,"Oh, The Places You'll Go!",Dr. Seuss
16115612,And the Mountains Echoed,Khaled Hosseini
7082,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny"
18254,Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne"
11149,The Screwtape Letters,C.S. Lewis
6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins
113946,How the Grinch Stole Christmas!,Dr. Seuss
5805,V for Vendetta,"Alan Moore, David   Lloyd"
2203,John Adams,David McCullough
14995,"Odd Thomas (Odd Thomas, #1)",Dean Koontz
119324,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman
22232,"Stargirl (Stargirl, #1)",Jerry Spinelli
7090447,"The Red Pyramid (Kane Chronicles, #1)",Rick Riordan
350,Stranger in a Strange Land,Robert A. Heinlein
10176,Dress Your Family in Corduroy and Denim,David Sedaris
6319,The BFG,"Roald Dahl, Quentin Blake"
21,A Short History of Nearly Everything,Bill Bryson
1852,The Call of the Wild,Jack London
7864437,"The Death Cure (Maze Runner, #3)",James Dashner
16793,Stardust,Neil Gaiman
33917,The Namesake,Jhumpa Lahiri
8667848,"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness
11297,Norwegian Wood,"Haruki Murakami, Jay Rubin"
5168,Where the Heart Is,Billie Letts
6567017,"Will Grayson, Will Grayson","John Green, David Levithan"
1241,A Million Little Pieces,James Frey
2282133,"Frostbite (Vampire Academy, #2)",Richelle Mead
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain
233818,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott O'Dell
17250,The Crucible,"Arthur Miller, Christopher Bigsby"
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon"
7784,The Lorax,Dr. Seuss
389627,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas
2802316,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead
46170,For Whom the Bell Tolls,Ernest Hemingway
3367956,Hotel on the Corner of Bitter and Sweet,Jamie Ford
343,Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods"
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
3950967,The Tales of Beedle the Bard,J.K. Rowling
22328,Neuromancer,William Gibson
10799,A Farewell to Arms,Ernest Hemingway
391729,The Tell-Tale Heart and Other Writings,Edgar Allan Poe
10534,The Art of War,"Sun Tzu, Thomas Cleary"
11367726,Defending Jacob,William Landay
4980,Breakfast of Champions,Kurt Vonnegut Jr.
627206,The New Drawing on the Right Side of the Brain,Betty Edwards
5826,Bel Canto,Ann Patchett
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
9375,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe
33722,The Undomestic Goddess,Sophie Kinsella
567795,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman
7190,The Three Musketeers,Alexandre Dumas
6948436,Little Bee,Chris Cleave
3975774,"Evermore (The Immortals, #1)",Alyson Noel
6327,The Witches,"Roald Dahl, Quentin Blake"
40440,The Thirteenth Tale,Diane Setterfield
6479259,"Spirit Bound (Vampire Academy, #5)",Richelle Mead
5996153,"Blood Promise (Vampire Academy, #4)",Richelle Mead
3478,Message in a Bottle,Nicholas Sparks
8683812,The Paris Wife,Paula McLain
862041,"Harry Potter Boxset (Harry Potter, #1-7)",J.K. Rowling
16248068,"The Elite (The Selection, #2)",Kiera Cass
119073,The Name of the Rose,"Umberto Eco, William Weaver, Seán Barrett"
46799,Go Ask Alice,"Beatrice Sparks, Anonymous"
310612,A Confederacy of Dunces,"John Kennedy Toole, Walker Percy"
92303,The Importance of Being Earnest,Oscar Wilde
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan
34497,"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett
4929,Kafka on the Shore,"Haruki Murakami, Philip Gabriel"
28877,"Red Dragon (Hannibal Lecter, #1)",Thomas Harris
41804,"I, Robot (Robot #0.1)",Isaac Asimov
42899,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward
7791997,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick
6482837,Before I Fall,Lauren Oliver
9777,The God of Small Things,Arundhati Roy
18079776,The Invention of Wings,Sue Monk Kidd
6469165,What Alice Forgot,Liane Moriarty
3869,A Brief History of Time,"Stephen Hawking, Cao Chi, Phạm Văn Thiều"
7315573,"Fall of Giants (The Century Trilogy, #1)",Ken Follett
6320534,Under the Dome,Stephen King
830,Snow Crash,Neal Stephenson
51738,Just Listen,Sarah Dessen
99107,"Winnie-the-Pooh (Winnie-the-Pooh, #1)","A.A. Milne, Ernest H. Shepard"
9736930,Before I Go to Sleep,S.J. Watson
102868,A Study in Scarlet,Arthur Conan Doyle
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini
56495,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren
676924,"Betrayed (House of Night, #2)","P.C. Cast, Kristin Cast"
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher
50398,Northanger Abbey,"Jane Austen, Alfred MacAdam"
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey
10920,Cold Mountain,Charles Frazier
767680,If You Give a Mouse a Cookie,"Laura Joffe Numeroff, Felicia Bond"
42155,"Something Blue (Darcy & Rachel, #2)",Emily Giffin
12220,A Streetcar Named Desire,Tennessee Williams
10692,The Historian,Elizabeth Kostova
20170404,Station Eleven,Emily St. John Mandel
18774964,A Man Called Ove,"Fredrik Backman, Henning Koch"
18335634,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare
1078,"The Good Earth (House of Earth, #1)",Pearl S. Buck
2784,Ways of Seeing,John Berger
5364,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon
1923820,Holy Bible: King James Version,Anonymous
